date,code,open,high,low,close,peTTM,pbMRQ,psTTM
2020-06-24,sh.600880,4.8200,4.8400,4.7300,4.7500,103.736515,1.806409,12.204714
2020-06-24,sh.600881,2.9400,2.9600,2.9300,2.9400,-48.805856,0.675342,0.591504
2020-06-24,sh.600882,37.9300,39.2500,35.9000,36.8700,443.776450,10.711447,8.195356
2020-06-24,sh.600883,9.3200,9.4500,9.1600,9.3800,235.573496,3.302252,70.641812
2020-06-24,sh.600884,11.5000,11.8000,10.9500,11.1100,120.011538,1.626229,2.298194
2020-06-24,sh.600885,38.9900,39.6500,38.8000,39.0900,42.235483,5.745209,4.221724
2020-06-24,sh.600886,7.8500,7.9700,7.8300,7.8800,10.316702,1.413308,1.340091
2020-06-24,sh.600887,30.7000,31.1300,30.4400,30.8200,32.390146,6.998015,2.141310
2020-06-24,sh.600888,4.5800,4.6100,4.5000,4.5200,28.736352,1.008123,1.030020
2020-06-24,sh.600889,5.3600,5.4700,5.3500,5.4300,-11.782224,1.472053,3.932896
2020-06-24,sh.600890,7.2700,7.3200,7.1600,7.2800,164.456643,15.721269,33.194066
2020-06-24,sh.600891,1.1900,1.1900,1.1900,1.1900,-1.399362,-0.439909,2.620561
2020-06-24,sh.600892,2.7200,2.7500,2.6800,2.7500,-2.895807,5.516545,7.320384
2020-06-24,sh.600893,23.6000,23.6000,23.2200,23.3500,45.298343,1.825660,2.074621
2020-06-24,sh.600894,6.8700,6.9000,6.8100,6.8300,17.355391,0.776996,0.967079
2020-06-24,sh.600895,19.0900,19.5400,18.9100,18.9500,41.259659,3.045541,23.531152
2020-06-24,sh.600896,4.3900,4.4200,4.3100,4.3100,-20.172471,2.407440,127.589414
2020-06-24,sh.600897,17.7600,17.9200,17.7300,17.8200,13.177157,1.419382,3.357325
2020-06-24,sh.600898,8.3000,8.5800,8.2000,8.5800,-2.401362,-2.507800,4.121348
2020-06-24,sh.600900,18.9000,19.4500,18.9000,19.0900,20.077452,2.768785,8.458653
2020-06-24,sh.600901,5.3000,5.3500,5.2500,5.2700,9.368097,1.278720,4.755098
2020-06-24,sh.600903,9.8800,9.9300,9.8100,9.8100,67.065664,4.201206,2.834358
2020-06-24,sh.600908,4.8900,5.0400,4.8800,4.9600,7.114919,0.797739,2.418398
2020-06-24,sh.600909,6.8900,6.9200,6.7700,6.8100,25.998402,1.812322,8.038964
2020-06-24,sh.600917,7.1800,7.1900,7.1000,7.1400,30.432683,2.604583,1.669670
2020-06-24,sh.600918,14.3300,14.5500,13.8100,13.8100,44.917969,3.379432,10.205888
2020-06-24,sh.600919,5.6700,5.7200,5.6500,5.6900,4.349307,0.570417,1.399021
2020-06-24,sh.600926,8.8800,9.1200,8.8800,9.0700,7.737265,0.968750,2.364103
2020-06-24,sh.600928,5.2000,5.3900,5.1900,5.2800,8.546865,0.959410,3.398216
2020-06-24,sh.600929,6.1400,6.1600,6.0600,6.1200,37.967367,2.230074,2.587775
2020-06-24,sh.600933,13.2000,13.3700,13.0500,13.2100,25.539608,2.717441,4.349455
2020-06-24,sh.600936,4.0300,4.0400,3.9200,3.9300,63.072467,1.766571,2.988990
2020-06-24,sh.600939,3.6400,3.6500,3.6100,3.6100,16.781284,0.958314,0.132824
2020-06-24,sh.600958,9.7300,9.8400,9.6100,9.6300,34.037824,1.225925,3.580150
2020-06-24,sh.600959,3.7300,3.7500,3.7100,3.7300,73.337344,0.862755,2.485527
2020-06-24,sh.600960,3.1800,3.2000,3.1300,3.1400,74.617185,0.631471,0.637455
2020-06-24,sh.600961,5.7900,5.8400,5.7100,5.8000,18.371318,-2.191560,0.239734
2020-06-24,sh.600962,8.7900,8.9000,8.6800,8.7500,733.002970,2.764992,1.631636
2020-06-24,sh.600963,3.5700,3.5800,3.5200,3.5300,14.715445,0.763355,0.915103
2020-06-24,sh.600965,6.5400,6.5600,6.4500,6.5000,28.186622,2.581360,4.062892
2020-06-24,sh.600966,9.1900,9.5000,9.1100,9.2800,63.064650,2.273935,1.219163
2020-06-24,sh.600967,10.2300,10.3500,10.1800,10.2300,29.699610,1.851609,1.342455
2020-06-24,sh.600968,2.3600,2.3700,2.3500,2.3600,18.170224,1.287166,0.712803
2020-06-24,sh.600969,6.1600,6.1700,6.1300,6.1600,49.074625,0.650310,0.772837
2020-06-24,sh.600970,5.3800,5.3900,5.3400,5.3500,6.102070,0.902075,0.401732
2020-06-24,sh.600971,4.6800,4.7100,4.6200,4.6300,5.090707,0.617317,0.990603
2020-06-24,sh.600973,4.0300,4.0300,3.9600,3.9700,34.735645,1.321412,0.166572
2020-06-24,sh.600975,8.9000,8.9000,8.6700,8.7800,29.655550,4.526131,2.648709
2020-06-24,sh.600976,17.7700,17.9800,17.4500,17.5000,32.207594,2.199725,1.240370
2020-06-24,sh.600977,13.0200,13.0900,12.9000,12.9400,50.436450,2.053369,3.402037
2020-06-24,sh.600978,1.1400,1.1600,1.1400,1.1500,-3.002823,0.226202,0.376237
2020-06-24,sh.600979,3.0800,3.1100,3.0700,3.0800,18.273237,0.990383,1.743962
